time_left,ct_health,t_health,ct_armor,ct_players_alive,t_players_alive,bomb_planted
69.95,400.0,263.0,391.0,4.0,3.0,0
169.96,500.0,500.0,386.0,5.0,5.0,0
109.96,500.0,500.0,486.0,5.0,5.0,0
89.96,478.0,268.0,482.0,5.0,3.0,0
31.16,207.0,212.0,292.0,3.0,3.0,1
169.96,500.0,500.0,0.0,5.0,5.0,0
109.97,500.0,500.0,0.0,5.0,5.0,0
89.97,500.0,500.0,0.0,5.0,5.0,0
26.62,400.0,500.0,0.0,4.0,5.0,1
6.62,100.0,427.0,0.0,1.0,5.0,1
169.96,500.0,500.0,0.0,5.0,5.0,0
109.96,500.0,500.0,500.0,5.0,5.0,0
89.96,344.0,156.0,400.0,4.0,2.0,0
69.96,300.0,156.0,300.0,3.0,2.0,0
49.96,200.0,100.0,200.0,2.0,1.0,0
169.95,500.0,500.0,200.0,5.0,5.0,0
109.95,500.0,500.0,500.0,5.0,5.0,0
89.95,500.0,400.0,500.0,5.0,4.0,0
69.95,500.0,400.0,500.0,5.0,4.0,0
35.15,200.0,262.0,200.0,2.0,3.0,1
169.95,500.0,500.0,0.0,5.0,5.0,0
170.0,500.0,500.0,100.0,5.0,5.0,0
170.0,500.0,500.0,100.0,5.0,5.0,0
170.0,500.0,500.0,200.0,5.0,5.0,0
170.0,500.0,500.0,200.0,5.0,5.0,0
110.98,500.0,500.0,400.0,5.0,5.0,0
90.98,279.0,371.0,287.0,3.0,4.0,0
28.52,189.0,106.0,193.0,2.0,2.0,1
8.52,189.0,0.0,193.0,2.0,0.0,1
169.95,500.0,500.0,193.0,5.0,5.0,0
109.95,500.0,500.0,393.0,5.0,5.0,0
89.95,400.0,481.0,293.0,4.0,5.0,0
69.95,322.0,381.0,279.0,4.0,4.0,0
49.95,300.0,281.0,200.0,3.0,3.0,0
29.95,100.0,200.0,100.0,1.0,2.0,0
169.95,500.0,500.0,0.0,5.0,5.0,0
109.95,500.0,500.0,400.0,5.0,5.0,0
89.95,473.0,500.0,396.0,5.0,5.0,0
69.95,452.0,493.0,396.0,5.0,5.0,0
27.77,163.0,193.0,279.0,3.0,2.0,1
7.77,10.0,0.0,85.0,1.0,0.0,1
169.95,500.0,500.0,0.0,5.0,5.0,0
109.95,500.0,500.0,0.0,5.0,5.0,0
89.95,36.0,400.0,0.0,1.0,4.0,0
169.96,500.0,500.0,0.0,5.0,5.0,0
109.96,500.0,500.0,400.0,5.0,5.0,0
89.96,500.0,500.0,400.0,5.0,5.0,0
69.96,500.0,400.0,400.0,5.0,4.0,0
49.96,500.0,400.0,400.0,5.0,4.0,0
29.96,500.0,400.0,400.0,5.0,4.0,0
169.95,500.0,500.0,200.0,5.0,5.0,0
109.95,500.0,500.0,500.0,5.0,5.0,0
89.95,500.0,497.0,500.0,5.0,5.0,0
69.95,200.0,97.0,200.0,2.0,1.0,0
49.95,200.0,97.0,200.0,2.0,1.0,0
169.95,500.0,500.0,200.0,5.0,5.0,0
170.0,500.0,500.0,400.0,5.0,5.0,0
164.69,500.0,500.0,500.0,5.0,5.0,0
104.69,500.0,500.0,499.0,5.0,5.0,0
84.69,200.0,208.0,199.0,2.0,3.0,0
64.69,13.0,108.0,99.0,1.0,2.0,0
35.27,13.0,100.0,99.0,1.0,1.0,1
169.95,500.0,500.0,0.0,5.0,5.0,0
109.95,500.0,500.0,300.0,5.0,5.0,0
89.95,500.0,500.0,300.0,5.0,5.0,0
69.95,500.0,500.0,300.0,5.0,5.0,0
49.95,321.0,337.0,200.0,4.0,4.0,0
29.95,315.0,237.0,197.0,4.0,3.0,0
169.95,500.0,500.0,197.0,5.0,5.0,0
170.0,500.0,500.0,500.0,5.0,5.0,0
163.14,500.0,500.0,500.0,5.0,5.0,0
103.14,500.0,500.0,500.0,5.0,5.0,0
83.14,408.0,292.0,498.0,5.0,3.0,0
63.14,408.0,292.0,498.0,5.0,3.0,0
169.96,500.0,500.0,400.0,5.0,5.0,0
109.96,500.0,500.0,500.0,5.0,5.0,0
89.96,200.0,163.0,200.0,2.0,3.0,0
25.39,108.0,120.0,180.0,2.0,2.0,1
169.95,500.0,500.0,176.0,5.0,5.0,0
170.0,500.0,500.0,476.0,5.0,5.0,0
168.52,500.0,500.0,476.0,5.0,5.0,0
108.52,500.0,500.0,476.0,5.0,5.0,0
88.52,500.0,500.0,476.0,5.0,5.0,0
68.52,500.0,500.0,476.0,5.0,5.0,0
48.52,500.0,500.0,476.0,5.0,5.0,0
28.52,473.0,100.0,472.0,5.0,1.0,0
169.96,500.0,500.0,372.0,5.0,5.0,0
109.96,500.0,500.0,472.0,5.0,5.0,0
89.96,500.0,335.0,472.0,5.0,4.0,0
35.09,400.0,186.0,372.0,4.0,3.0,1
15.09,257.0,0.0,265.0,3.0,0.0,1
169.95,500.0,500.0,265.0,5.0,5.0,0
109.95,500.0,500.0,465.0,5.0,5.0,0
89.95,500.0,500.0,465.0,5.0,5.0,0
69.95,400.0,393.0,365.0,4.0,4.0,0
49.95,400.0,393.0,365.0,4.0,4.0,0
33.39,200.0,366.0,192.0,2.0,4.0,1
13.39,200.0,366.0,192.0,2.0,4.0,1
169.95,500.0,500.0,0.0,5.0,5.0,0
170.0,500.0,500.0,300.0,5.0,5.0,0
168.47,500.0,500.0,500.0,5.0,5.0,0
108.47,500.0,500.0,500.0,5.0,5.0,0
88.47,500.0,500.0,500.0,5.0,5.0,0
68.47,500.0,500.0,500.0,5.0,5.0,0
48.47,416.0,400.0,500.0,5.0,4.0,0
26.98,200.0,254.0,200.0,2.0,4.0,1
6.98,200.0,254.0,200.0,2.0,4.0,1
169.95,500.0,500.0,200.0,5.0,5.0,0
109.95,500.0,500.0,500.0,5.0,5.0,0
89.95,500.0,400.0,500.0,5.0,4.0,0
69.95,500.0,400.0,500.0,5.0,4.0,0
169.96,500.0,500.0,0.0,5.0,5.0,0
109.96,500.0,500.0,400.0,5.0,5.0,0
89.96,500.0,381.0,400.0,5.0,4.0,0
40.01,400.0,261.0,300.0,4.0,3.0,1
169.96,500.0,500.0,300.0,5.0,5.0,0
170.0,500.0,500.0,500.0,5.0,5.0,0
170.0,500.0,500.0,500.0,5.0,5.0,0
166.65,500.0,500.0,500.0,5.0,5.0,0
106.65,500.0,500.0,500.0,5.0,5.0,0
86.65,500.0,497.0,500.0,5.0,5.0,0
66.65,500.0,497.0,500.0,5.0,5.0,0
35.74,300.0,300.0,300.0,3.0,3.0,1
15.74,180.0,300.0,291.0,3.0,3.0,1
169.96,500.0,500.0,91.0,5.0,5.0,0
109.96,500.0,500.0,391.0,5.0,5.0,0
89.96,497.0,500.0,389.0,5.0,5.0,0
69.96,497.0,500.0,389.0,5.0,5.0,0
49.96,400.0,400.0,291.0,4.0,4.0,0
28.51,200.0,379.0,91.0,2.0,4.0,1
8.51,200.0,379.0,91.0,2.0,4.0,1
169.96,500.0,500.0,91.0,5.0,5.0,0
109.96,500.0,431.0,91.0,5.0,5.0,0
89.96,288.0,331.0,0.0,3.0,4.0,0
69.96,263.0,331.0,0.0,3.0,4.0,0
49.96,188.0,331.0,0.0,2.0,4.0,0
37.96,188.0,331.0,0.0,2.0,4.0,1
17.96,188.0,331.0,0.0,2.0,4.0,1
169.96,500.0,500.0,0.0,5.0,5.0,0
109.96,500.0,500.0,300.0,5.0,5.0,0
89.96,491.0,500.0,300.0,5.0,5.0,0
69.96,281.0,438.0,200.0,3.0,5.0,0
37.8,181.0,300.0,200.0,2.0,3.0,1
17.8,181.0,300.0,200.0,2.0,3.0,1
169.96,500.0,500.0,200.0,5.0,5.0,0
109.96,500.0,500.0,500.0,5.0,5.0,0
89.96,500.0,494.0,500.0,5.0,5.0,0
69.96,153.0,182.0,200.0,2.0,2.0,0
37.9,71.0,88.0,100.0,1.0,1.0,1
169.95,500.0,500.0,0.0,5.0,5.0,0
170.0,500.0,500.0,400.0,5.0,5.0,0
164.33,500.0,500.0,500.0,5.0,5.0,0
104.33,500.0,500.0,500.0,5.0,5.0,0
84.33,500.0,500.0,500.0,5.0,5.0,0
64.33,500.0,500.0,500.0,5.0,5.0,0
44.33,500.0,300.0,500.0,5.0,3.0,0
28.09,300.0,264.0,300.0,3.0,3.0,1
8.09,100.0,149.0,100.0,1.0,2.0,1
169.95,500.0,500.0,100.0,5.0,5.0,0
170.0,500.0,500.0,100.0,5.0,5.0,0
170.0,500.0,500.0,100.0,5.0,5.0,0
165.41,500.0,500.0,100.0,5.0,5.0,0
105.41,429.0,500.0,300.0,5.0,5.0,0
85.41,229.0,400.0,200.0,3.0,4.0,0
65.41,229.0,400.0,200.0,3.0,4.0,0
45.41,129.0,400.0,100.0,2.0,4.0,0
25.41,29.0,400.0,0.0,1.0,4.0,0
20.27,29.0,400.0,0.0,1.0,4.0,1
0.27,29.0,400.0,0.0,1.0,4.0,1
169.96,500.0,500.0,0.0,5.0,5.0,0
109.96,500.0,500.0,500.0,5.0,5.0,0
89.96,500.0,500.0,500.0,5.0,5.0,0
69.96,270.0,200.0,300.0,3.0,2.0,0
49.96,270.0,200.0,300.0,3.0,2.0,0
29.96,104.0,100.0,200.0,2.0,1.0,0
9.96,104.0,100.0,200.0,2.0,1.0,0
169.96,500.0,500.0,200.0,5.0,5.0,0
170.0,500.0,500.0,200.0,5.0,5.0,0
170.0,500.0,500.0,500.0,5.0,5.0,0
110.34,500.0,500.0,500.0,5.0,5.0,0
90.34,500.0,500.0,500.0,5.0,5.0,0
70.34,500.0,500.0,500.0,5.0,5.0,0
50.34,400.0,373.0,400.0,4.0,5.0,0
39.92,174.0,349.0,196.0,2.0,5.0,1
19.92,174.0,249.0,196.0,2.0,4.0,1
169.95,500.0,500.0,100.0,5.0,5.0,0
109.95,500.0,500.0,200.0,5.0,5.0,0
89.95,400.0,500.0,100.0,4.0,5.0,0
69.95,400.0,400.0,100.0,4.0,4.0,0
49.95,400.0,400.0,100.0,4.0,4.0,0
29.95,400.0,400.0,100.0,4.0,4.0,0
23.85,300.0,308.0,100.0,3.0,4.0,1
3.85,200.0,300.0,100.0,2.0,3.0,1
169.96,500.0,500.0,100.0,5.0,5.0,0
109.96,500.0,500.0,500.0,5.0,5.0,0
89.96,400.0,495.0,400.0,4.0,5.0,0
69.96,100.0,297.0,100.0,1.0,4.0,0
169.95,500.0,500.0,0.0,5.0,5.0,0
109.95,500.0,500.0,499.0,5.0,5.0,0
89.95,273.0,120.0,296.0,3.0,2.0,0
30.12,273.0,31.0,296.0,3.0,2.0,1
10.12,273.0,0.0,296.0,3.0,0.0,1
169.95,500.0,500.0,296.0,5.0,5.0,0
109.95,481.0,500.0,496.0,5.0,5.0,0
89.95,481.0,420.0,496.0,5.0,5.0,0
69.95,481.0,420.0,496.0,5.0,5.0,0
29.95,181.0,82.0,200.0,2.0,1.0,0
23.65,81.0,0.0,100.0,1.0,0.0,1
169.95,500.0,500.0,100.0,5.0,5.0,0
109.95,500.0,500.0,500.0,5.0,5.0,0
89.95,500.0,370.0,500.0,5.0,4.0,0
69.95,500.0,370.0,500.0,5.0,4.0,0
32.98,139.0,170.0,200.0,2.0,2.0,1
169.95,500.0,500.0,0.0,5.0,5.0,0
170.0,500.0,500.0,0.0,5.0,5.0,0
170.0,500.0,500.0,200.0,5.0,5.0,0
170.0,500.0,500.0,200.0,5.0,5.0,0
170.0,500.0,500.0,200.0,5.0,5.0,0
156.22,500.0,500.0,400.0,5.0,5.0,0
96.22,500.0,500.0,400.0,5.0,5.0,0
76.22,500.0,500.0,400.0,5.0,5.0,0
56.22,500.0,500.0,400.0,5.0,5.0,0
37.47,299.0,500.0,200.0,3.0,5.0,1
169.95,500.0,500.0,0.0,5.0,5.0,0
109.95,500.0,500.0,400.0,5.0,5.0,0
89.95,400.0,308.0,300.0,4.0,5.0,0
69.95,200.0,205.0,200.0,2.0,4.0,0
31.51,200.0,166.0,200.0,2.0,4.0,1
11.51,200.0,166.0,200.0,2.0,4.0,1
169.97,500.0,500.0,190.0,5.0,5.0,0
109.97,500.0,500.0,190.0,5.0,5.0,0
89.97,492.0,400.0,190.0,5.0,4.0,0
69.97,492.0,400.0,190.0,5.0,4.0,0
29.12,159.0,180.0,96.0,2.0,4.0,1
9.12,159.0,180.0,96.0,2.0,4.0,1
169.96,500.0,500.0,96.0,5.0,5.0,0
109.96,500.0,500.0,496.0,5.0,5.0,0
89.96,500.0,500.0,496.0,5.0,5.0,0
69.96,500.0,500.0,496.0,5.0,5.0,0
49.96,500.0,392.0,496.0,5.0,4.0,0
29.96,500.0,292.0,496.0,5.0,3.0,0
36.97,400.0,192.0,396.0,4.0,2.0,1
16.97,287.0,80.0,296.0,3.0,1.0,1
169.95,500.0,500.0,296.0,5.0,5.0,0
109.95,500.0,500.0,496.0,5.0,5.0,0
89.95,479.0,500.0,496.0,5.0,5.0,0
69.95,479.0,500.0,496.0,5.0,5.0,0
39.8,279.0,367.0,300.0,3.0,4.0,1
19.8,179.0,367.0,200.0,2.0,4.0,1
169.96,500.0,500.0,200.0,5.0,5.0,0
109.96,500.0,500.0,500.0,5.0,5.0,0
89.96,500.0,500.0,500.0,5.0,5.0,0
69.96,500.0,500.0,500.0,5.0,5.0,0
49.96,500.0,500.0,500.0,5.0,5.0,0
29.96,300.0,500.0,300.0,3.0,5.0,0
39.98,100.0,400.0,100.0,1.0,4.0,1
169.95,500.0,500.0,0.0,5.0,5.0,0
109.95,500.0,500.0,200.0,5.0,5.0,0
89.95,500.0,500.0,200.0,5.0,5.0,0
69.95,500.0,500.0,200.0,5.0,5.0,0
49.95,318.0,400.0,198.0,4.0,4.0,0
29.95,99.0,207.0,0.0,1.0,3.0,0
169.95,500.0,500.0,0.0,5.0,5.0,0
170.0,500.0,500.0,200.0,5.0,5.0,0
166.98,500.0,500.0,500.0,5.0,5.0,0
106.98,500.0,500.0,500.0,5.0,5.0,0
86.98,500.0,381.0,500.0,5.0,4.0,0
66.98,243.0,234.0,300.0,3.0,3.0,0
46.98,242.0,234.0,300.0,3.0,3.0,0
169.95,500.0,500.0,0.0,5.0,5.0,0
109.95,500.0,500.0,300.0,5.0,5.0,0
89.95,400.0,500.0,200.0,4.0,5.0,0
69.95,400.0,461.0,200.0,4.0,5.0,0
49.95,400.0,461.0,200.0,4.0,5.0,0
169.96,500.0,500.0,0.0,5.0,5.0,0
109.96,500.0,500.0,500.0,5.0,5.0,0
89.96,500.0,500.0,500.0,5.0,5.0,0
69.96,500.0,447.0,500.0,5.0,5.0,0
49.96,500.0,398.0,500.0,5.0,5.0,0
29.96,500.0,298.0,500.0,5.0,4.0,0
36.29,446.0,200.0,490.0,5.0,2.0,1
16.29,311.0,23.0,400.0,4.0,1.0,1
169.95,500.0,500.0,400.0,5.0,5.0,0
109.95,500.0,500.0,500.0,5.0,5.0,0
89.95,500.0,465.0,500.0,5.0,5.0,0
69.95,500.0,459.0,500.0,5.0,5.0,0
49.95,500.0,420.0,500.0,5.0,5.0,0
29.95,200.0,100.0,200.0,2.0,1.0,0
9.95,100.0,86.0,100.0,1.0,1.0,0
169.95,500.0,500.0,0.0,5.0,5.0,0
170.0,500.0,500.0,100.0,5.0,5.0,0
162.77,500.0,500.0,500.0,5.0,5.0,0
102.77,500.0,500.0,500.0,5.0,5.0,0
82.77,500.0,500.0,500.0,5.0,5.0,0
62.77,500.0,500.0,500.0,5.0,5.0,0
42.77,471.0,246.0,500.0,5.0,3.0,0
169.95,500.0,500.0,400.0,5.0,5.0,0
109.95,500.0,500.0,500.0,5.0,5.0,0
89.95,500.0,499.0,500.0,5.0,5.0,0
69.95,442.0,238.0,500.0,5.0,3.0,0
49.96,400.0,136.0,400.0,4.0,2.0,0
169.95,500.0,500.0,400.0,5.0,5.0,0
170.0,500.0,500.0,500.0,5.0,5.0,0
160.5,500.0,500.0,500.0,5.0,5.0,0
100.5,500.0,400.0,500.0,5.0,4.0,0
80.5,453.0,300.0,498.0,5.0,3.0,0
60.5,453.0,200.0,498.0,5.0,2.0,0
175.0,500.0,500.0,0.0,5.0,5.0,0
157.78,500.0,500.0,400.0,5.0,5.0,0
97.78,486.0,382.0,391.0,5.0,4.0,0
77.78,200.0,334.0,200.0,2.0,4.0,0
174.96,500.0,500.0,0.0,5.0,5.0,0
114.96,500.0,500.0,400.0,5.0,5.0,0
94.96,400.0,330.0,299.0,4.0,4.0,0
74.96,100.0,53.0,99.0,1.0,2.0,0
20.66,100.0,21.0,99.0,1.0,2.0,1
0.66,100.0,5.0,99.0,1.0,1.0,1
174.95,500.0,500.0,98.0,5.0,5.0,0
114.95,500.0,500.0,198.0,5.0,5.0,0
94.95,500.0,412.0,298.0,5.0,5.0,0
74.95,500.0,342.0,298.0,5.0,5.0,0
54.95,381.0,130.0,298.0,4.0,2.0,0
34.95,281.0,100.0,200.0,3.0,1.0,0
174.95,500.0,500.0,200.0,5.0,5.0,0
114.95,500.0,500.0,500.0,5.0,5.0,0
94.95,300.0,260.0,300.0,3.0,5.0,0
23.01,173.0,259.0,196.0,2.0,4.0,1
3.01,100.0,172.0,100.0,1.0,3.0,1
174.96,500.0,500.0,95.0,5.0,5.0,0
175.0,500.0,500.0,295.0,5.0,5.0,0
169.73,500.0,500.0,495.0,5.0,5.0,0
109.73,500.0,500.0,495.0,5.0,5.0,0
89.73,406.0,100.0,481.0,5.0,1.0,0
174.96,500.0,500.0,481.0,5.0,5.0,0
114.96,500.0,500.0,481.0,5.0,5.0,0
94.96,500.0,209.0,481.0,5.0,3.0,0
174.96,500.0,500.0,481.0,5.0,5.0,0
114.96,500.0,500.0,481.0,5.0,5.0,0
94.96,500.0,500.0,481.0,5.0,5.0,0
74.96,500.0,500.0,481.0,5.0,5.0,0
54.96,500.0,500.0,481.0,5.0,5.0,0
34.96,266.0,324.0,285.0,3.0,4.0,0
26.72,50.0,139.0,87.0,1.0,3.0,1
174.95,500.0,500.0,0.0,5.0,5.0,0
114.95,500.0,500.0,500.0,5.0,5.0,0
94.95,500.0,385.0,500.0,5.0,4.0,0
174.95,500.0,500.0,300.0,5.0,5.0,0
114.95,500.0,500.0,500.0,5.0,5.0,0
94.95,500.0,400.0,500.0,5.0,4.0,0
74.95,500.0,295.0,500.0,5.0,3.0,0
174.96,500.0,500.0,500.0,5.0,5.0,0
114.96,500.0,500.0,500.0,5.0,5.0,0
94.96,500.0,500.0,500.0,5.0,5.0,0
74.96,300.0,274.0,300.0,3.0,3.0,0
174.95,500.0,500.0,200.0,5.0,5.0,0
114.95,500.0,500.0,500.0,5.0,5.0,0
94.95,360.0,392.0,387.0,4.0,4.0,0
174.95,500.0,500.0,288.0,5.0,5.0,0
175.0,500.0,500.0,288.0,5.0,5.0,0
168.85,500.0,500.0,288.0,5.0,5.0,0
108.85,500.0,500.0,488.0,5.0,5.0,0
88.85,500.0,500.0,488.0,5.0,5.0,0
68.85,300.0,351.0,288.0,3.0,4.0,0
48.85,273.0,251.0,284.0,3.0,3.0,0
24.14,200.0,251.0,200.0,2.0,3.0,1
4.14,196.0,251.0,200.0,2.0,3.0,1
174.96,500.0,500.0,144.0,5.0,5.0,0
114.96,500.0,500.0,444.0,5.0,5.0,0
94.96,500.0,452.0,444.0,5.0,5.0,0
